,precision,recall,f1-score,support
1,0.5,0.6666666666666666,0.5714285714285714,18.0
2,0.6666666666666666,0.631578947368421,0.6486486486486487,19.0
3,0.42857142857142855,0.7894736842105263,0.5555555555555556,19.0
4,1.0,1.0,1.0,22.0
5,1.0,0.8636363636363636,0.926829268292683,22.0
6,1.0,1.0,1.0,17.0
7,0.9375,0.7894736842105263,0.8571428571428571,19.0
8,1.0,1.0,1.0,16.0
9,0.4230769230769231,0.6875,0.5238095238095238,16.0
10,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
11,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
12,0.75,0.7894736842105263,0.7692307692307693,19.0
14,0.6190476190476191,0.8125,0.7027027027027027,16.0
15,0.6818181818181818,0.75,0.7142857142857143,20.0
16,0.0,0.0,0.0,18.0
17,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
18,1.0,1.0,1.0,23.0
19,1.0,0.8421052631578947,0.9142857142857143,19.0
20,0.85,0.9444444444444444,0.8947368421052632,18.0
21,0.8333333333333334,0.25,0.38461538461538464,20.0
22,0.75,0.8333333333333334,0.7894736842105263,18.0
23,0.5714285714285714,0.75,0.6486486486486487,16.0
24,0.625,0.9375,0.75,16.0
25,0.7222222222222222,0.6842105263157895,0.7027027027027027,19.0
26,0.5263157894736842,0.625,0.5714285714285714,16.0
27,0.5,0.25,0.3333333333333333,16.0
28,1.0,0.9375,0.967741935483871,16.0
29,0.9375,0.9375,0.9375,16.0
30,0.4,0.11764705882352941,0.18181818181818182,17.0
31,1.0,0.9473684210526315,0.972972972972973,19.0
32,0.8823529411764706,0.9375,0.9090909090909091,16.0
33,1.0,0.9411764705882353,0.9696969696969697,17.0
accuracy,0.7521815008726004,0.7521815008726004,0.7521815008726004,0.7521815008726004
macro avg,0.7433845958178389,0.7494250506223223,0.7317603224080552,573.0
weighted avg,0.7508027376948891,0.7521815008726004,0.736676231125582,573.0
